"rang","dist","rt"
"204",1,20167.3999999948
"205",1,20348.1999999931
"206",1,22220.9999999977
"207",1,26034.7000000111
"208",1,19897.1000000129
"209",1,19449.0000000187
"210",1,25352.3999999999
"211",1,27028.9999999995
"212",1,25811.6999999966
"213",1,26966.3999999957
"214",1,26622.6000000006
"215",1,26341.1999999989
"216",1,24028.4999999788
"217",1,25243.2000000117
"218",1,25310.7999999847
"219",1,23898.8999999851
"220",1,33402.9999999834
"221",1,22320.400000026
"222",1,19985.100000049
"223",1,19623.9999999999
"301",1,30063.7
"302",1,35633.9
"303",1,27455.9000000008
"304",1,29985.8999999851
"305",1,25884.8000000289
"306",1,26486.8000000279
"307",1,30340.7000000016
"308",1,24224.0000000038
"309",1,31921.7000000001
"310",1,35360.2000000001
"311",1,26113.8999999993
"312",1,36855.3999999949
"313",1,27097.3000000012
"314",1,20831.1999999933
"315",1,31663.5000000005
"316",1,27448.8000000001
"317",1,29965.3000000035
"318",1,29789.7999999986
"319",1,31378.0999999981
"320",1,28813.4999999966
"321",1,28020.2000000099
"204",3,9885.40000000648
"205",3,10517.500000009
"206",3,11436.5000000107
"207",3,12664.1000000163
"208",3,9610.10000000169
"209",3,8900.50000000338
"210",3,11442.2
"211",3,13178.4999999991
"212",3,14280.5999999973
"213",3,11471.7999999975
"214",3,14099.0999999958
"215",3,11394.299999989
"216",3,12273.3999999908
"217",3,11869.1000000108
"218",3,12117.4000000101
"219",3,10948.6000000032
"220",3,12007.4000000021
"221",3,10528.200000088
"222",3,9758.30000001588
"223",3,9830.90000000004
"301",3,15784.3
"302",3,13777.8
"303",3,14427.3000000003
"304",3,14300.7999999973
"305",3,12632.7000000165
"306",3,17046.5000000404
"307",3,16928.400000033
"308",3,13105.7000000001
"309",3,12285.7000000001
"310",3,12060.9000000004
"311",3,16954.6999999993
"312",3,10255.3000000007
"313",3,16163.1000000017
"314",3,21313.2000000041
"315",3,13953.0000000006
"316",3,10986.3000000023
"317",3,12831.3000000016
"318",3,14768.3999999972
"319",3,18060.8999999968
"320",3,16785.3000000068
"321",3,16058.8999999964
"204",4,9676.40000000029
"205",4,11184.8000000027
"206",4,10693.1000000186
"207",4,11809.1000000204
"208",4,8771.0999999872
"209",4,8812.59999998292
"210",4,11800.3
"211",4,12888.9000000008
"212",4,18894.5000000003
"213",4,10829.3999999969
"214",4,11881.000000003
"215",4,12789.3999999978
"216",4,10558.2000000065
"217",4,12092.2000000064
"218",4,19029.6999999919
"219",4,11183.4000000089
"220",4,13229.8999999983
"221",4,10600.999999966
"222",4,8512.69999996293
"223",4,10366.1999999999
"301",4,12908.3
"302",4,9784.6
"303",4,13757.4999999993
"304",4,12483.2000000024
"305",4,16836.3000000099
"306",4,14574.8000000167
"307",4,12230.0000000098
"308",4,13923.8000000023
"309",4,13541.5999999998
"310",4,10715.8999999992
"311",4,12744.3000000003
"312",4,9857.90000000088
"313",4,15866.7000000027
"314",4,10434.5999999969
"315",4,12357.9000000019
"316",4,12271.0000000043
"317",4,14000.8000000016
"318",4,15176.300000001
"319",4,8718.79999999874
"320",4,8471.19999999632
"321",4,10976.3000000021
